size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below
191000	192000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
192000	193000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
193000	194000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
194000	195000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
195000	196000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
196000	197000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
197000	198000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
198000	199000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
199000	2e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
2e+05	201000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
